Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV192,02/14/2023 07:16:00,02/14/2023 08:48:00,29,0.07,1.46,1.53,100,70.8,29.2,62.5,54.2,4346,4375,0.04575163398692811,,18.6797385620915
EV192,02/14/2023 15:02:00,02/14/2023 16:07:00,20,0.12,0.95,1.07,100,81.6,18.4,39.400000000000006,52.9,4375,4395,0.11214953271028039,,19.17073934837093
EV192,02/15/2023 06:58:00,02/15/2023 08:47:00,29,0.13,1.47,1.6,100,70.8,29.2,62.5,45.7333333333333,4395,4424,0.08125,,21.32168458781362
EV192,02/15/2023 12:15:00,02/15/2023 13:59:00,32,0.28,1.3499999999999999,1.63,93.6,63.6,30,64.2,60.35,4424,4456,0.1717791411042945,,16.74658385093168
EV192,02/15/2023 15:01:00,02/15/2023 16:15:00,20,0.21,1.03,1.24,63.6,46,17.6,37.7,59.9,4456,4476,0.1693548387096774,,15.53225806451613
EV192,02/16/2023 07:06:00,02/16/2023 09:12:00,30,0.31000000000000005,1.54,1.85,100,69.2,30.8,66,53.0333333333333,4476,4506,0.16756756756756758,,12.029966219897569
EV192,02/16/2023 14:40:00,02/16/2023 16:20:00,37,0.21,1.46,1.67,97.2,60,37.2,79.6,65,4510,4547,0.12574850299401197,,21.952095808383234
EV192,02/21/2023 06:59:00,02/21/2023 08:46:00,29,0.11,1.5099999999999998,1.62,100,70,30,64.2,52.45,4547,4576,0.06790123456790124,,20.88843243243243
EV192,02/21/2023 15:07:00,02/21/2023 16:15:00,20,0.26,0.87,1.13,100,80.8,19.2,41.1,60,4576,4596,0.23008849557522126,,17.044247787610622
EV192,02/22/2023 07:09:00,02/22/2023 08:42:00,29,0.12,1.43,1.55,100,72,28,59.9,50.9,4596,4625,0.07741935483870968,,19.245161290322578
EV192,02/22/2023 12:36:00,02/22/2023 14:02:00,26,0.18,1.25,1.44,95.2,95.2,24,51.4,55.3,4629,4629,0.1258741258741259,,9.342657342657343
EV192,02/22/2023 14:57:00,02/22/2023 16:07:00,19,0.18000000000000002,0.87,1.04,71.2,53.6,17.6,37.7,52.3,4655,4674,0.17142857142857143,,20.315402298850575
EV192,02/23/2023 07:12:00,02/23/2023 08:42:00,29,0.09,1.41,1.5,100,68,32,68.5,48.8,4675,4704,0.06,,19.05333333333333
EV192,02/23/2023 11:39:00,02/23/2023 13:13:00,29,0.09,1.04,1.12,90,61.2,28.8,61.6,53.1333333333333,4704,4733,0.07964601769911503,,24.787790577645648
EV192,02/24/2023 07:13:00,02/24/2023 08:46:00,30,0.09,1.45,1.54,100,70.4,29.6,63.3,51.7,4733,4763,0.05844155844155844,,19.37012987012987
EV192,02/24/2023 15:02:00,02/24/2023 17:09:00,46,0.34,1.77,2.11,100,57.2,42.8,91.6,59.8,4763,4809,0.16113744075829387,,21.791469194312796
EV192,02/27/2023 14:41:00,02/27/2023 17:05:00,47,0.48,1.67,2.16,100,59.6,40.4,86.5,59.925,4809,4856,0.22325581395348837,,5.986979166666666
EV192,02/28/2023 07:09:00,02/28/2023 08:47:00,29,0.06,1.57,1.63,100,72.8,27.2,58.2,53,4856,4885,0.03680981595092024,,17.914110429447852
EV192,02/28/2023 15:08:00,02/28/2023 16:59:00,46,0.13,1.72,1.85,100,59.6,40.4,86.5,56,4885,4931,0.07027027027027027,,24.518918918918917
EV192,03/01/2023 07:14:00,03/01/2023 08:45:00,29,0.09,1.43,1.51,100,69.6,30.4,65.1,51.7,4931,4960,0.05921052631578947,,18.927152317880793
EV192,03/01/2023 12:18:00,03/01/2023 13:44:00,27,0.13,1.1199999999999999,1.25,94.8,68.4,26.400000000000002,56.5,55,4960,4987,0.10400000000000001,,11.353395061728394
EV192,03/01/2023 15:07:00,03/01/2023 17:00:00,46,0.26,1.62,1.88,68.4,22.8,45.6,97.6,50.3,4987,5033,0.13829787234042554,,24.127659574468087
EV192,03/02/2023 07:14:00,03/02/2023 08:43:00,30,0.1,1.4,1.49,98.4,62,36.4,77.9,47.6,5033,5063,0.06666666666666667,,20.020134228187917
EV192,03/02/2023 14:14:00,03/02/2023 16:19:00,42,0.35,1.74,2.09,99.2,46,53.2,113.9,60.7,5063,5105,0.1674641148325359,,19.91866028708134
EV192,03/03/2023 07:11:00,03/03/2023 08:44:00,30,0.17,1.39,1.56,100,66.8,33.2,71.1,49.4,5105,5135,0.10897435897435899,,19.12179487179487
EV192,03/03/2023 15:07:00,03/03/2023 17:33:00,51,0.29,1.98,2.27,100,45.6,54.400000000000006,116.5,59,5135,5186,0.1277533039647577,,17.631603773584906
EV192,03/07/2023 07:12:00,03/07/2023 09:48:00,53,0.33,2.27,2.6,100,44.8,55.2,118.1,52.6,5186,5239,0.12692307692307692,,20.315384615384616
EV192,03/07/2023 15:11:00,03/07/2023 17:16:00,46,0.28,1.8,2.08,82.8,39.6,43.2,92.5,57.1,5239,5285,0.13461538461538464,,22.10576923076923
EV192,03/08/2023 07:11:00,03/08/2023 09:55:00,58,0.13,2.37,2.5,100,44.8,55.2,118.1,54.825,5285,5343,0.052000000000000005,,22.01884360365373
EV192,03/08/2023 10:59:00,03/08/2023 11:11:00,5,0,0.2,0.2,44.8,38.8,6,12.8,71.4,5343,5348,0,,21.749999999999996
EV192,03/09/2023 07:14:00,03/09/2023 09:39:00,54,0.19,2.22,2.41,100,45.6,54.4,116.4,53.9,5348,5402,0.07883817427385892,,22.431535269709542
EV192,03/10/2023 07:14:00,03/10/2023 09:31:00,52,0.14,2.14,2.29,100,46.4,53.6,114.7,56.5,5402,5454,0.06140350877192982,,22.79475982532751
EV192,03/10/2023 10:42:00,03/10/2023 10:54:00,5,0,0.2,0.2,46.4,41.6,4.8,10.3,62.7,5454,5459,0,,21.749999999999996
EV192,03/13/2023 07:03:00,03/13/2023 09:27:00,53,0.36,2.04,2.4,100,48.4,51.6,110.4,55,5459,5512,0.15,,22.008333333333333
EV192,03/13/2023 15:10:00,03/13/2023 16:19:00,19,0.11000000000000001,0.92,1.04,88.4,69.2,19.2,41.1,67.1,5512,5531,0.10679611650485438,,18.75859213250518
EV192,03/14/2023 06:57:00,03/14/2023 09:33:00,53,0.25,2.1,2.3499999999999996,100,48.8,51.2,109.6,55.8,5531,5584,0.10638297872340426,,11.210869565217392
EV192,03/14/2023 15:11:00,03/14/2023 17:31:00,47,0.48,1.86,2.34,88.8,45.6,43.2,92.5,67.8,5584,5631,0.20512820512820512,,20.17948717948718
EV192,03/15/2023 07:15:00,03/15/2023 10:25:00,55,0.43,2.5,2.93,100,38.8,61.199999999999996,131,57.6666666666667,5631,5686,0.14675767918088736,,16.215813305468476
