Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV133,08/02/2020,,,,,,,,,,72.95,,,,
EV133,08/03/2020,,83.13,,,16.46,,,,155.17,66.875,,,,
EV133,08/04/2020,,132.28,,,16.75,,,,227.88,63.769999999999996,,,,
EV133,08/05/2020,,25.69,,,18.68,,,,55.14,68.27,,,,
EV133,08/06/2020,,84.98,,,12.3,,,,165.06,66.065,,,,
EV133,08/07/2020,,94.55,,,16.3,,,,201.53,54.32,,,,
EV133,08/08/2020,,0.45,,,13.39,,,,1.41,55.535000000000004,,,,
EV133,08/10/2020,,94.8,,,13.41,,,,162.1,60.125,,,,
EV133,08/11/2020,,56.93,,,12.98,,,,86.79,64.625,,,,
EV133,08/12/2020,,39.67,,,5.73,,,,58.55,56.165,,,,
EV133,08/13/2020,,46.46,,,9.9,,,,88.42,50.72,,,,
EV133,08/14/2020,,60.04,,,12.88,,,,91.22,55.22,,,,
EV133,08/17/2020,,115.91,,,16.33,,,,218.11,72.815,,,,
EV133,08/18/2020,,62.56,,,17.25,,,,91.62,71.24000000000001,,,,
EV133,08/19/2020,,84.01,,,15.03,,,,156.35,68.09,,,,
EV133,08/20/2020,,36.04,,,9.59,,,,66.24,64.04,,,,
EV133,08/21/2020,,28.77,,,3.65,,,,39.51,65.255,,,,
EV133,08/24/2020,,26.83,,,6.84,,,,42.46,64.58,,,,
EV133,08/25/2020,,84.94,,,14.5,,,,155.82,59.225,,,,
EV133,08/26/2020,,108.56,,,17.67,,,,188.63,61.385000000000005,,,,
EV133,08/27/2020,,83.43,,,10.67,,,,158.78,62.24,,,,
EV133,08/28/2020,,87.96,,,14.09,,,,174.12,60.845,,,,
EV133,08/29/2020,,0.28,,,12.76,,,,1.1,60.125,,,,
EV133,08/31/2020,,65.69,,,8.4,,,,120.97,45.004999999999995,,,,
EV133,09/01/2020,,47.4,,,6.67,,,,93.79,53.105000000000004,,,,
EV133,09/02/2020,,112,,,16.68,,,,194.61,60.935,,,,
EV133,09/03/2020,,140.63,,,20.6,,,,260.7,62.73500000000001,,,,
EV133,09/04/2020,,94.52,,,11.93,,,,164.3,65.705,,,,
EV133,09/05/2020,,0.48,,,11.57,,,,1.84,66.69500000000001,,,,
EV133,09/08/2020,,60.61,,,7.58,,,,172.2,39.785,,,,
EV133,09/09/2020,,84.24,,,11.71,,,,174.57,50.045,,,,
EV133,09/10/2020,,86.09,,,10.72,,,,142.24,57.74,,,,
EV133,09/11/2020,,57.31,,,8.66,,,,89.06,59.27,,,,
EV133,09/14/2020,,51.6,,,8.38,,,,88.3,58.144999999999996,,,,
EV133,09/15/2020,,104.14,,,17.47,,,,182.39,56.615,,,,
EV133,09/16/2020,,107.54,,,19.73,,,,190.18,57.965,,,,
EV133,09/17/2020,,65.59,,,9.01,,,,121.66,59.27,,,,
EV133,09/18/2020,,84.35,,,10.92,,,,154.56,58.775000000000006,,,,
EV133,09/21/2020,,57.3,,,8.86,,,,109.66,52.52,,,,
EV133,09/22/2020,,104.43,,,13.12,,,,185.93,52.025,,,,
EV133,09/23/2020,,79.48,,,9.45,,,,141.15,53.915000000000006,,,,
EV133,09/24/2020,,79.69,,,14.06,,,,126.81,46.894999999999996,,,,
EV133,09/25/2020,,65.27,,,13.69,,,,139.18,40.55,,,,
EV133,09/28/2020,,84.82,,,15.07,,,,176.28,44.78,,,,
EV133,09/29/2020,,109.84,,,22.44,,,,232.12,52.115,,,,
EV133,09/30/2020,,108.96,,,21.41,,,,207.93,53.465,,,,
EV133,10/01/2020,,108.06,,,18.16,,,,179.4,52.295,,,,
