Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,Average Speed
EV217,03/30/2023,0.2400000000000091,0.25,0.07916666666666655,0.3291666666666661,,,,,46.04,640.65,640.89,32.751091703056765,,0.7291139240506618
EV217,04/06/2023,188.04999999999995,3.983333333333328,8.145833333333316,12.12916666666665,92,6,86,489.650237812178,59.72,640.88,828.93,39.42625822249161,,15.503950532463088
EV217,04/10/2023,1.0200000000000955,0.6499999999999995,0.3486111111111103,0.9986111111111087,2,93,1,1.90936868686868,66.74,828.93,829.95,58.51929847510651,,1.0214186369959257
EV217,04/11/2023,7.990000000000009,0.9333333333333326,0.4208333333333329,1.3541666666666665,93,88,5,,59.36,829.95,837.94,36.27967255606407,,5.9003076923077
EV217,04/14/2023,85.59999999999991,3.799999999999996,4.663888888888883,8.463888888888873,88,49,37,229.079596684716,50.54,837.94,923.54,59.13154219799543,,10.113554315720389
EV217,04/15/2023,0.38999999999998636,0.0166666666666666,0.0944444444444443,0.1111111111111105,94,93,1,2.05263157894736,57.02,923.54,923.93,8.28729281767955,,3.5099999999998968
EV217,04/19/2023,110.67999999999995,1.1666666666666652,3.333333333333321,4.49999999999999,92,55,37,219.532609843937,55.22,923.93,1034.61,55.2385943410341,,24.5955555555556
EV217,04/20/2023,0.39000000000010004,0.466666666666665,0.17999999999999988,0.646666666666665,55,51,5,2.78147979797979,66.74,1034.61,1035,39.44273345283583,,0.6030927835053109
EV217,04/22/2023,0.2300000000000182,0,0.0530555555555555,0.0530555555555555,51,50,1,0.605263157894736,71.78,1035,1035.23,0,,4.335078534031761
EV217,04/24/2023,0.7100000000000364,1.7333333333333298,0.1594444444444443,1.8927777777777728,86,85,1,4.69047619047618,55.76,1035.23,1035.94,61.45605971439,,0.37511006750809184
