Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV203,05/02/2022,,80.5,,,12.1333333333333,89.62,32,57.62,207.64,47.2,,,89.62,31.6,,,12.1,37.1
EV203,05/03/2022,,100,,,14.4,100,38,62,224.97,53.62,,,100,37.84,,,12.84,38.2
EV203,05/04/2022,,87.3,,,12.1333333333333,99.19,37,62.19,213.02,50.91,,,99.19,36.76,,,12.42,42.7
EV203,05/05/2022,,85.8,,,12.15,100,67,33,134.66,70.22,,,100,66.02,,,11.55,42
EV203,05/06/2022,,88.8,,,12.5166666666667,98.36,58,40.36,152.55,80.23,,,98.36,57.24,,,12.18,33.5
EV203,05/07/2022,,111.2,,,14.5833333333333,97.65,44,53.65,189.34,82.88,,,97.65,44,,,11.97,45
EV203,05/09/2022,,27.6,,,3.85,97.77,84,13.77,47.15,59.07,,,97.77,83.91,,,13.63,45.7
EV203,07/15/2022,,0,,,,,84,,0.02,,,,84,84,,,,
EV203,07/20/2022,,0,,,,,,,1.01,,,,,,,,,
EV203,07/21/2022,,13,,,,,,,24.52,,,,,,,,,
EV203,07/24/2022,,0.1,,,,,,,0.31,,,,,,,,,
EV203,07/25/2022,,0,,,,,,,4.6,,,,,,,,,
EV203,07/28/2022,,0,,,,,84,,0.97,,,,84,84,,,,
EV203,07/29/2022,,25.3,,,,,,,38.37,,,,,,,,,
EV203,08/04/2022,,113.6,,,,,14,,237.67,,,,14,14,,,,
EV203,08/05/2022,,102.2,,,,,86,,184.5,,,,86,86,,,,
EV203,08/06/2022,,99.8,,,,,87,,178.77,,,,87,87,,,,
EV203,08/07/2022,,0.1,,,,,,,2.23,,,,,,,,,
EV203,08/08/2022,,31.2,,,,,44,,202.38,,,,44,44,,,,
EV203,08/09/2022,,0.6,,,,,,,1.09,,,,,,,,,
EV203,08/10/2022,,0.2,,,,,,,0.35,,,,,,,,,
EV203,08/19/2022,,1.1,,,,,,,8.98,,,,,,,,,
EV203,08/20/2022,,110.8,,,,,52,,175.97,,,,52,52,,,,
EV203,08/21/2022,,111,,,,,50,,184.21,,,,50,50,,,,
EV203,08/22/2022,,88.9,,,,,97,,166.57,,,,97,97,,,,
EV203,08/23/2022,,83.8,,,,,95,,175.24,,,,95,95,,,,
EV203,08/24/2022,,104.8,,,14.4833333333333,100,42,58,411,83.55,,,100,42,,,12.54,38.7
EV203,08/25/2022,,107.8,,,15,100,48,52,187.21,75.96,,,100,48,,,11.97,42.6
EV203,08/26/2022,,4.4,,,0.233333333333333,48.44,48,0.439999999999998,3.92,71.09,,,48.44,47.38,,,21.54,35.8
EV203,08/27/2022,,85.4,,,14.2166666666667,100,42,58,398,85.49,,,100,42,,,12.4,44.6
EV203,08/28/2022,,3.2,,,0.183333333333333,40.55,40,0.549999999999997,3.81,77.45,,,40.55,39.79,,,20.27,34.9
EV203,08/29/2022,,82.5,,,12.3833333333333,100,55,45,268,83.64,,,100,55,,,11.87,45
EV203,08/30/2022,,83.3,,,14.55,100,44,56,384,86.88,,,100,44,,,12.46,36.4
EV203,08/31/2022,,68.6,,,15.1166666666667,100,44,56,268,85.12,,,100,43.13,,,12.29,41.2
EV203,09/01/2022,,0.3,,,0.133333333333333,43.71,44,,4.52,77.08,,,44,43.13,,,20.47,41.2
EV203,09/02/2022,,48.7,,,6.11666666666667,100,67,33,124.96,94.73,,,100,66.29,,,12.62,43.4
EV203,09/03/2022,,112.5,,,,,44,,202.32,,,,44,44,,,,
EV203,09/04/2022,,105,,,14.9,100,42,58,212.7,87.94,,,100,41.47,,,12.97,33.6
EV203,09/05/2022,,17.6,,,,,,,30.24,,,,,,,,,
EV203,09/06/2022,,0.2,,,,,,,2.76,,,,,,,,,
