Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Maximum Speed,Average Speed,Percent Idling Time,Drive Cycle
EV173,03/23/2022,9,176,1.6,3.95,5.55,,,,,44.08,,,,,50.95243776346138,17.24366446544914,0.2882882882882883,
EV173,03/24/2022,9,174,1.8833333333333333,3.9499999999999997,5.833333333333333,,,,,43.414,,,,,51.642850199280645,16.91922392341216,0.32285714285714284,
EV173,03/25/2022,9,181,1.3,4.166666666666667,5.466666666666667,,,,,37.98001564,,,,,50.1929840840602,18.170669513859185,0.23780487804878048,
EV173,03/28/2022,10,187,1.4333333333333333,4.233333333333333,5.666666666666667,,,,,24.1358,,,,,42.31537819136244,14.162994491264929,0.2529411764705882,
EV173,03/29/2022,8,194,0.8500000000000001,4.783333333333333,5.633333333333333,,,,,30.9065,,,,,39.76775630318937,13.094557119355835,0.15088757396449706,
EV173,03/30/2022,8,183,1.8666666666666667,4.066666666666666,5.933333333333334,,,,,41.2160087975,,,,,48.31161019645271,15.497458768888563,0.3146067415730337,
EV173,03/31/2022,9,179,1.5833333333333333,4.016666666666667,5.6,,,,,40.51003128,,,,,45.981468225562715,14.914208643138325,0.28273809523809523,
EV173,04/11/2022,9,205,1.6,4.266666666666667,5.866666666666667,,,,,49.172,,,,,53.645046263156495,19.530913885319134,0.2727272727272727,
EV173,04/12/2022,9,187,1.65,4.033333333333333,5.683333333333334,,,,,53.02801564,,,,,51.711891442862566,18.256243440253005,0.29032258064516125,
EV173,04/13/2022,11,152,1.9666666666666666,4.266666666666667,6.233333333333333,,,,,60.4809090909091,,,,,48.975347606342595,15.398081766670428,0.3155080213903743,
EV173,04/14/2022,8,189,1.6666666666666667,4.25,5.916666666666667,,,,,41.15975,,,,,50.33106657122405,16.60115565465358,0.28169014084507044,
EV173,04/15/2022,11,191,1.7833333333333334,4.25,6.033333333333333,,,,,40.4272727272727,,,,,44.73872584108804,15.86772617153933,0.2955801104972376,
EV173,04/18/2022,11,191,1.7000000000000002,4.233333333333333,5.933333333333334,,,,,38.3131101036364,,,,,43.60896003702016,16.557814067909458,0.2865168539325843,
EV173,04/19/2022,9,180,1.8666666666666667,4.05,5.916666666666667,,,,,37.95400782,,,,,52.0570976607722,17.314396019026567,0.3154929577464789,
EV173,04/20/2022,9,193,1.7,4.133333333333333,5.833333333333333,,,,,41.84802346,,,,,53.43792253241072,18.91387133952764,0.2914285714285714,
EV173,04/21/2022,9,182,1.8166666666666667,4.016666666666667,5.833333333333333,,,,,49.752,,,,,52.3332626350999,17.592067716151575,0.31142857142857144,
EV173,04/22/2022,9,120,1.8166666666666667,3.1666666666666665,4.983333333333333,,,,,47.27602346,,,,,49.019282943167454,15.122097955780722,0.36454849498327757,
EV173,04/25/2022,9,202,1.05,4.483333333333333,5.533333333333333,,,,,48.6,,,,,47.63845807152894,18.16409875082886,0.1897590361445783,
EV173,04/26/2022,9,191,1.6166666666666667,4.033333333333333,5.65,,,,,40.518,,,,,51.642850199280645,18.5351764087925,0.2861356932153392,
EV173,04/27/2022,7,200,0.5333333333333333,4.316666666666666,4.85,,,,,37.0631529114286,,,,,51.75134358205224,20.383270153940813,0.10996563573883163,
EV173,04/28/2022,4,96,1.05,2.2666666666666666,3.316666666666667,,,,,34.448,,,,,52.97189413823271,20.273899786849903,0.31658291457286436,
EV173,04/29/2022,1,0,0.8333333333333334,0,0.8333333333333334,,,,,49.118,,,,,0,0,1,
EV173,05/02/2022,2,158,0.35,2.1833333333333336,2.533333333333333,,,,,52.72703519,,,,,60.894376839258726,39.55367043023365,0.1381578947368421,
EV173,05/03/2022,9,183,1.8333333333333335,4.15,5.983333333333333,,,,,48.66401564,,,,,47.63845807152894,15.813154390987538,0.3064066852367688,
EV173,05/04/2022,9,191,1.5,4.05,5.55,,,,,47.48201564,,,,,53.78312875032035,19.023595342767724,0.2702702702702703,
EV173,05/05/2022,10,189,1.1833333333333333,4.05,5.233333333333333,,,,,54.9914,,,,,54.05929372464805,19.801726426312403,0.22611464968152867,
EV173,05/06/2022,8,107,0.7166666666666667,2.5,3.216666666666667,,,,,49.0010087975,,,,,39.690084904159704,15.374455965622303,0.22279792746113988,
EV173,05/07/2022,41,60,3.033333333333333,4.5,7.533333333333333,,,,,61.4032195121951,,,,,16.11018481337283,3.902376671169118,0.4026548672566372,
EV173,05/08/2022,37,59,3.4,3.3666666666666667,6.766666666666667,,,,,63.1258918918919,,,,,17.16327995855555,4.48811964559996,0.5024630541871921,
EV173,05/09/2022,10,198,1.4666666666666668,4.133333333333334,5.6000000000000005,,,,,55.140807038,,,,,49.461146902091784,17.981075276051158,0.2619047619047619,
EV173,05/10/2022,9,180,1.65,4,5.65,,,,,68.986,,,,,52.3332626350999,17.971161505205632,0.29203539823008845,
EV173,05/11/2022,10,144,1.4333333333333333,3.783333333333333,5.216666666666667,,,,,72.892407038,,,,,45.857193987115245,15.243901133310139,0.2747603833865815,
EV173,05/12/2022,9,189,1.0833333333333333,4.416666666666667,5.5,,,,,68.388,,,,,48.6050354816759,18.12315340455737,0.19696969696969696,
EV173,05/13/2022,12,185,1.4833333333333334,4.216666666666667,5.7,,,,,69.09051173,,,,,39.97488003393515,14.095234445727076,0.260233918128655,
EV173,05/15/2022,33,75,3,5.583333333333333,8.583333333333334,,,,,70.7092791254545,,,,,21.6350151478999,5.159363525956798,0.3495145631067962,
EV173,05/16/2022,9,183,1.8333333333333333,4.016666666666667,5.8500000000000005,,,,,57.736,,,,,51.98805641719027,17.048867365695656,0.3133903133903134,
EV173,05/17/2022,11,179,1.5666666666666667,4.15,5.716666666666667,,,,,54.0582010127273,,,,,44.96467900190162,14.761478356008295,0.27405247813411077,
EV173,05/18/2022,10,181,1.75,3.9833333333333334,5.733333333333333,,,,,51.247414076,,,,,47.472759086932314,16.390632127917744,0.30523255813953487,
EV173,05/19/2022,9,176,1.4333333333333333,3.933333333333333,5.366666666666667,,,,,62.468,,,,,51.43572646853487,17.280213296638568,0.2670807453416149,
EV173,05/20/2022,10,186,1.7,3.9833333333333334,5.683333333333334,,,,,71.7728,,,,,52.94082557862085,16.744468535424673,0.29912023460410553,
EV173,05/23/2022,9,193,1.4833333333333334,4.216666666666667,5.699999999999999,,,,,50.67803128,,,,,49.916819109732494,16.39514355516908,0.260233918128655,
EV173,05/24/2022,9,186,1.6666666666666667,4,5.666666666666667,,,,,54.53601564,,,,,51.02147900704331,17.235780099064062,0.29411764705882354,
EV173,05/25/2022,8,187,1.3666666666666667,3.9833333333333334,5.35,,,,,57.14375,,,,,52.27285154696572,17.64876737532803,0.25545171339563866,
EV173,05/26/2022,9,185,1.7333333333333334,4.066666666666666,5.8,,,,,71.094,,,,,48.74311796883975,15.298924012462479,0.2988505747126437,
EV173,05/27/2022,11,180,1.95,4.166666666666667,6.116666666666667,,,,,64.5063828309091,,,,,44.173842939054104,14.630692890112423,0.3188010899182561,
EV173,05/31/2022,12,190,1.6,4.116666666666666,5.716666666666667,,,,,74.77851173,,,,,44.220916514223596,15.056285287906153,0.27988338192419826,
EV173,06/01/2022,7,93,0.7333333333333333,2.1833333333333336,2.9166666666666665,,,,,71.0985915371429,,,,,41.18803331401756,14.475342657035382,0.2514285714285714,
EV173,06/06/2022,1,0,0.45,0.03333333333333333,0.48333333333333334,,,,,71.15,,,,,5.592340730136005,0,0.9310344827586207,
EV173,06/07/2022,9,179,1.3333333333333333,3.9,5.233333333333333,,,,,59.298,,,,,48.39791175093012,16.40616610442825,0.25477707006369427,
EV173,06/08/2022,9,183,1.5333333333333332,3.8166666666666664,5.35,,,,,60.93000782,,,,,50.40010781480597,18.417078881608397,0.2866043613707165,
EV173,06/09/2022,9,180,1.4,3.8,5.2,,,,,58.3960391,,,,,47.77654055869279,18.54670548186703,0.2692307692307693,
EV173,06/10/2022,9,169,1.15,3.6,4.75,,,,,62.352,,,,,48.39791175093012,19.337592228944487,0.2421052631578947,
EV173,06/15/2022,4,0,0.11666666666666667,0.11666666666666667,0.23333333333333334,,,,,83.6195,,,,,8.388511095204008,0,0.5,
EV173,06/23/2022,1,1,0,0.13333333333333333,0.13333333333333333,,,,,75.72207038,,,,,13.670166229221346,4.660283941780005,0,
